Location,Model,n_train,n_val,n_test,Train_R2,Train_RMSE,Train_MAE,Train_MAPE,Train_MedAE,Val_R2,Val_RMSE,Val_MAE,Val_MAPE,Val_MedAE,Test_R2,Test_RMSE,Test_MAE,Test_MAPE,Test_MedAE,BestModelFile,FeatureRowsUsed
Koşuyolu Cad. Efeler Mah. No:41 Avni Naili Limboz Camii,XGBoost,14,3,4,0.03492891634620732,0.22279191386560548,0.15845379811613367,0.0017561862596696426,0.1068135733909088,-1.0975096053797193,0.05725944560948133,0.04775955353461351,0.0005295662333304723,0.04059760992778649,-2.727018309052478,0.5357781685214266,0.45902239582420634,0.005121777660797761,0.3715490289199508,ai_outputs\per_location_next_week\models\Koşuyolu_Cad._Efeler_Mah._No_41_Avni_Naili_Limboz_Camii_best_XGBoost.pkl,21
M.pasa Cad. İle Hüseyin Ögütcen Kavşağı,RandomForest,14,3,3,0.1475280000378606,0.24384026400904985,0.1736366907079321,0.0019391322202183265,0.08862370974172507,-0.9906943960644954,0.3395967634070968,0.24776911204971933,0.00277832383604614,0.10556721937469149,0.12147855284375186,0.23141495536241544,0.1875778321167445,0.0020875691048597655,0.15794011562401522,ai_outputs\per_location_next_week\models\M.pasa_Cad._İle_Hüseyin_Ögütcen_Kavşağı_best_RandomForest.pkl,20
Mithatpaşa Caddesi No:479,GradientBoosting,15,3,4,-0.00013213086422747544,0.24975589358360434,0.22215381356489844,0.0024796546878270496,0.17278106668767634,-0.11304467251161743,0.10775778869993394,0.10712312433750526,0.00119643349746287,0.10917265448183855,-0.5382201473727064,0.3322048191715456,0.3047190258700567,0.0034129304126469875,0.3039682293006365,ai_outputs\per_location_next_week\models\Mithatpaşa_Caddesi_No_479_best_GradientBoosting.pkl,22
Mrk. Bornova Jandarma Komando Ambarlar Yanı,GradientBoosting,15,3,4,-0.0015501557886650197,0.39769080679290597,0.2802531289239255,0.0031249781158727966,0.2045831051785001,-8.049243691694576,0.7644998730055439,0.7210224938827802,0.00808958301518263,0.5844907466034783,-16.43560652802366,0.8170026048688906,0.7932275311405235,0.008902749164910177,0.7302396367308503,ai_outputs\per_location_next_week\models\Mrk._Bornova_Jandarma_Komando_Ambarlar_Yanı_best_GradientBoosting.pkl,22
R.erkutlu Şehitlik Önü No:290/a Kadifekale,RandomForest,15,3,4,0.2764993166256431,0.1715544152967444,0.13935052177012514,0.0015443714026243673,0.16653837342320799,-1.2303702824624203,0.26761675460160234,0.20166472060073679,0.0022445503220014187,0.1025663248621953,-0.12692033078503906,0.6559242894986586,0.38240679345814144,0.00429328727309482,0.10517834592027953,ai_outputs\per_location_next_week\models\R.erkutlu_Şehitlik_Önü_No_290_a_Kadifekale_best_RandomForest.pkl,22
Sakarya Cad.no:112 Manavkuyu,XGBoost,14,3,4,0.8460921707654572,0.2118546810149295,0.15994210221802824,0.0017884001157467098,0.18754707481866006,-1.1571561751167612,0.3977556208315101,0.3271050018081117,0.0036615890029668406,0.3604344919158109,0.2476741014712761,0.40983826600519263,0.3689061957401307,0.004145723277268703,0.3953865762247375,ai_outputs\per_location_next_week\models\Sakarya_Cad.no_112_Manavkuyu_best_XGBoost.pkl,21
Selimiye Cad. No:30/b Gültepe,Ridge,14,3,4,0.8468391904125296,0.09147716844352027,0.07752939182540176,0.0008586614313899169,0.07381593087642102,-202.73950413442824,0.398961855351517,0.369876373870909,0.004100211491966349,0.2653764385322859,-1.538370691706973,0.5059665230034175,0.40926183207961486,0.004578368944506302,0.3638131030748042,ai_outputs\per_location_next_week\models\Selimiye_Cad._No_30_b_Gültepe_best_Ridge.pkl,21
Türkmenistan Cad. İle 1206 Sok.. Kvs. Evka-1,XGBoost,14,3,4,-4.98132646242766e-11,0.16554410025323651,0.1173891251172025,0.0013010898895901046,0.06615440447950505,-2.3886360408604443,0.0895806765798999,0.07521022118019498,0.000835408128854896,0.08102772811093928,-1.886930543465322,0.127612409715456,0.10316982623946558,0.0011426159983136946,0.1112518037895498,ai_outputs\per_location_next_week\models\Türkmenistan_Cad._İle_1206_Sok.._Kvs._Evka-1_best_XGBoost.pkl,21
Ulu Önder Cad. İle Gökdere Cad.kavşağı,RandomForest,14,3,4,0.19789714136183956,0.19359299090432353,0.15147786794397433,0.001678295008266585,0.10943527842543688,-0.10372735380549614,0.32865781661801396,0.24787600509420807,0.0027610046462577063,0.16322329402258617,-0.5160779584973771,0.18251814247184137,0.1813827696448378,0.0020146972796103568,0.1744398196027177,ai_outputs\per_location_next_week\models\Ulu_Önder_Cad._İle_Gökdere_Cad.kavşağı_best_RandomForest.pkl,21
Yavuz Cad. 241/C Osmangazi,GradientBoosting,14,3,4,-0.0008021529443840159,0.5525195091697711,0.49941561735729223,0.005581226081482031,0.5179834034929769,-0.22548011667298162,0.2717867269747955,0.2675109206209214,0.0029952231777056106,0.24126148136507197,-0.44836620807514227,0.592433026613619,0.48156282450674937,0.005421711040120131,0.5421723136795364,ai_outputs\per_location_next_week\models\Yavuz_Cad._241_C_Osmangazi_best_GradientBoosting.pkl,21
Çanakkale Cad.i̇le 7057 Sok Kavsağıpınarbaşı,GradientBoosting,14,3,4,-0.0009116568315283846,0.610604700624723,0.5257650899466374,0.005871943671750504,0.5476027490323361,-0.009920173063304727,0.34451077291425414,0.3246808429718442,0.0036253964519576136,0.37228694144518215,-0.4647182849598117,0.5921099317832761,0.476858627033625,0.005365013097455382,0.41383384182648086,ai_outputs\per_location_next_week\models\Çanakkale_Cad.i̇le_7057_Sok_Kavsağıpınarbaşı_best_GradientBoosting.pkl,21
İnönü Cad. İle 100 Sok. Kavşağı,RandomForest,14,3,4,0.18382195124170997,0.21645728316371451,0.15636162034785478,0.0017329018640689974,0.09582451958129923,-0.7788377968958653,0.17199357152067402,0.1413790881324625,0.0015721965124719263,0.1256712750525253,-0.4257953699707664,0.6465512875578895,0.43182670078222785,0.004841936665139169,0.15719549682859224,ai_outputs\per_location_next_week\models\İnönü_Cad._İle_100_Sok._Kavşağı_best_RandomForest.pkl,21
İzsu Narlıdere Teknik Amirlik,RandomForest,14,3,4,0.17673411118560245,0.22856205284976494,0.17413047757125252,0.0019434109655632466,0.1091254778682682,-32.67086338514356,0.08194431993424076,0.0793485028873846,0.0008856652826403728,0.08699908694229919,-0.1264729769957631,0.3434485434881828,0.27768065795289587,0.003105734616857289,0.2539169506320249,ai_outputs\per_location_next_week\models\İzsu_Narlıdere_Teknik_Amirlik_best_RandomForest.pkl,21
Şehitler Cad. No:22 H.mustafa Gökdemir Camii Evka-3,GradientBoosting,14,3,4,-0.0012124812259561857,0.6080990473660024,0.5374451428744597,0.006001003082892537,0.539193516150057,-1.8695614751012548,0.3804505009236267,0.30887372480645564,0.0034651137270634617,0.40119108686803884,-0.8057741971117982,0.6196258037862797,0.4900697115058925,0.005515975158555503,0.4045298522392784,ai_outputs\per_location_next_week\models\Şehitler_Cad._No_22_H.mustafa_Gökdemir_Camii_Evka-3_best_GradientBoosting.pkl,21
